0, 36
1, 47
2, 57
3, 59
4, 64
5, 67
6, 68
7, 72
8, 73
9, 75
10, 77
11, 82
12, 90
13, 91
14, 97
15, 102
16, 102
17, 102
18, 102
19, 105
20, 103
21, 105
22, 107
23, 109
24, 109
25, 104
26, 97
27, 92
28, 103
29, 104
30, 104
31, 103
32, 103
33, 101
34, 99
35, 97
36, 96
37, 94
38, 93
39, 91
40, 88
41, 87
42, 85
43, 83
44, 81
45, 79
46, 75
47, 74
48, 76
49, 72
50, 71
51, 71
52, 70
53, 71
54, 66
55, 66
56, 67
57, 65
58, 64
59, 62
60, 57
61, 56
62, 51
63, 53
64, 48
65, 40
66, 29
67, 47
68, 61
69, 67
70, 68
71, 71
72, 78
73, 76
74, 82
75, 84
76, 86
77, 88
78, 89
79, 89
80, 90
81, 92
82, 93
83, 102
84, 101
85, 103
86, 105
87, 105
88, 107
89, 108
90, 108
91, 89
92, 86
93, 100
94, 98
95, 97
96, 95
97, 92
98, 90
99, 87
100, 87
101, 88
102, 86
103, 85
104, 84
105, 82
106, 82
107, 80
108, 77
109, 75
110, 73
111, 72
112, 69
113, 64
114, 62
115, 61
116, 58
117, 57
118, 54
119, 48
120, 46
121, 29
122, 28
123, 27
124, 38
125, 56
126, 64
127, 68
128, 70
129, 73
130, 76
131, 76
132, 80
133, 81
134, 88
135, 89
136, 93
137, 94
138, 94
139, 94
140, 96
141, 98
142, 101
143, 105
144, 103
145, 106
146, 109
147, 111
148, 113
149, 115
150, 117
151, 119
152, 119
153, 121
154, 121
155, 99
156, 115
157, 114
158, 114
159, 113
160, 112
161, 112
162, 110
163, 108
164, 107
165, 106
166, 105
167, 103
168, 100
169, 98
